symbol,fa_persons,fa_companies,lead_underwriters_norm,co_underwriters_norm,ipo_price,first_trade_date,open_d1,high_d1,low_d1,close_d1,close_d2,close_d3,close_d4,close_d5,close_1W,close_1M,close_3M,close_6M
CHEWA,รัฐชัย ธีระธนาวัฒน์,อาร์เอชบี (ประเทศไทย) จำกัด (มหาชน),"['บริษัทหลักทรัพย์ ดาโอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ อาร์เอชบี (ประเทศไทย) จำกัด (มหาชน)']",,1.6000,Tue Apr 05,2.5000,2.6000,2.0000,2.0200,1.7700,1.7300,1.8100,1.7600,1.7600,1.6700,1.6000,1.5500
CHG,พายุพัด มหาผล,ธนชาต จำกัด (มหาชน),['บริษัทหลักทรัพย์ ธนชาต จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ กรุงศรี จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ทรีนีตี้ จำกัด', 'บริษัทหลักทรัพย์ เอเซีย พลัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ไอร่า จำกัด (มหาชน)']",6.3000,Thu May 16,10.0000,10.0000,8.6000,8.7000,8.9500,8.8000,8.8500,8.9000,9.0000,9.0000,11.4000,10.3000
CHIC,นาง วันทนา เพชรฤกษ์วงศ์,บริษัท หลักทรัพย์เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน),"['บริษัทหลักทรัพย์ เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เอเซีย พลัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ แลนด์ แอนด์ เฮ้าส์ จำกัด']","['บริษัทหลักทรัพย์ กรุงศรี จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ดาโอ (ประเทศไทย) จำกัด (มหาชน)']",0.9000,Wed Jul 27,0.9300,1.0400,0.9300,0.9500,0.8400,0.8000,0.8200,0.8100,0.8200,0.7900,0.9900,0.8000
CHO,สมศักดิ์ ศิริชัยนฤมิตร,แอสเซท โปร แมเนจเม้นท์ จำกัด,['บริษัทหลักทรัพย์ ฟิลลิป (ประเทศไทย) จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ซีไอเอ็มบี (ประเทศไทย) จำกัด', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ โนมูระ พัฒนสิน จำกัด (มหาชน)']",1.8000,Mon May 13,3.7200,3.7800,2.9000,2.9000,2.8200,2.8400,3.1000,2.9600,2.9800,1.6200,1.8700,2.2800
CHOW,ปิ่นมณี เมฆมัณฑนา,ฟินน์คอร์ป แอดไวซอรี่ จำกัด,['บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ กรุงไทย เอ็กซ์สปริง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ธนชาต จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ พาย จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ โกลเบล็ก จำกัด', 'บริษัทหลักทรัพย์ โนมูระ พัฒนสิน จำกัด (มหาชน)']",3.0000,Wed Dec 21,3.2400,3.3600,3.0400,3.0400,2.9800,3.0200,2.9400,2.8600,2.6800,2.8400,2.7400,2.1400
CI,,ทรีนีตี้ แอ๊ดไวซอรี่ 2001 บจก.,['บริษัทหลักทรัพย์ ทรีนีตี้ จำกัด'],"['บริษัทหลักทรัพย์ กรุงไทย เอ็กซ์สปริง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ซิกโก้ จำกัด', 'บริษัทหลักทรัพย์ ดีบีเอส วิคเคอร์ส จำกัด', 'บริษัทหลักทรัพย์ ธนชาต จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ อินเทลวิชั่น จำกัด', 'บริษัทหลักทรัพย์ เกียรตินาคินภัทร จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เออีซี จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ แอสเซท พลัส จำกัด']",6.1000,Mon Dec 16,5.9500,6.2000,5.9000,6.1000,5.2000,5.0500,5.6000,5.3500,5.1500,5.4500,4.2600,4.7000
CIG,,ไซรัส บล. บมจ.,['บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ กรุงไทย เอ็กซ์สปริง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ทิสโก้ จำกัด', 'บริษัทหลักทรัพย์ บีที จำกัด', 'บริษัทหลักทรัพย์ ฟาร์อีสท์ จำกัด', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ อินเทลวิชั่น จำกัด', 'บริษัทหลักทรัพย์ เกียรตินาคินภัทร จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ โนมูระ พัฒนสิน จำกัด (มหาชน)']",2.7500,Tue Dec 13,1.8100,1.8100,1.8100,1.8100,1.7900,1.7900,1.8000,1.8000,1.8000,1.8500,1.8700,1.8700
CITY,,บีที บล.บจก.,"['บริษัทหลักทรัพย์ บีที จำกัด', 'บริษัทหลักทรัพย์ โกลเบล็ก จำกัด']","['บริษัทหลักทรัพย์ กรุงไทย เอ็กซ์สปริง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เออีซี จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ โนมูระ พัฒนสิน จำกัด (มหาชน)']",2.9400,Thu Feb 23,2.8200,2.9400,2.7000,2.8800,2.7000,2.5800,2.5800,2.6000,2.6000,2.7000,2.5600,2.5200
CIVIL,นางสาว วรางณัฐ วาทยพร,บริษัท หลักทรัพย์บัวหลวง จำกัด (มหาชน),['บริษัทหลักทรัพย์ บัวหลวง จำกัด (มหาชน)'],['บริษัทหลักทรัพย์ กรุงไทย เอ็กซ์สปริง จำกัด (มหาชน)'],4.6000,Thu Jan 27,5.2500,5.2500,4.5000,4.5000,4.5000,4.6000,4.8200,5.0000,5.5500,4.9800,4.9400,3.3200
CKP,"ประเสริฐ ตันตยาวิทย์, วัชรินทร์ เลิศสุวรรณกุล, วิรัช มรกตกาล","ไทยพาณิชย์ จำกัด (มหาชน), แอดไวเซอรี่ พลัส จำกัด, กรุงไทยแอดไวซ์เซอรี่ จำกัด","['บริษัทหลักทรัพย์ กรุงไทย เอ็กซ์สปริง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ บัวหลวง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เอเซีย พลัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ไทยพาณิชย์ จำกัด']","['บริษัทหลักทรัพย์ กสิกรไทย จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ซีไอเอ็มบี (ประเทศไทย) จำกัด', 'บริษัทหลักทรัพย์ ดีบีเอส วิคเคอร์ส จำกัด', 'บริษัทหลักทรัพย์ ทรีนีตี้ จำกัด', 'บริษัทหลักทรัพย์ ธนชาต จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ โนมูระ พัฒนสิน จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ไอ วี โกลบอล จำกัด (มหาชน)']",13.0000,Thu Jul 18,16.7000,17.0000,15.1000,16.0000,15.4000,15.2000,15.0000,15.0000,15.0000,13.7000,12.8000,10.5000
CMAN,นางสาว ดารณี อร่ามพรกุล,ธนาคารทิสโก้ จำกัด (มหาชน),['บริษัทหลักทรัพย์ ทิสโก้ จำกัด'],"['บริษัทหลักทรัพย์ กรุงศรี จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ กรุงไทย เอ็กซ์สปริง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เอเซีย พลัส จำกัด (มหาชน)']",3.8400,Wed Mar 21,5.0000,5.1000,4.3400,4.3600,4.3000,4.2200,4.5600,4.5000,4.5200,4.1000,3.3000,3.4600
CMC,นาย ประเสริฐ ตันตยาวิทย์,บริษัท หลักทรัพย์เมย์แบงก์ กิมเอ็ง (ประเทศไทย) จำกัด (มหาชน),"['บริษัทหลักทรัพย์ พาย จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน)']","['บริษัทหลักทรัพย์ ดาโอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ทิสโก้ จำกัด', 'บริษัทหลักทรัพย์ อาร์เอชบี (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เออีซี จำกัด (มหาชน)']",3.0000,Mon Nov 19,2.6200,2.6400,2.2400,2.3600,2.2800,2.3400,2.0800,2.1600,2.1400,1.7300,1.7400,1.2800
COCOCO,,-,"['บริษัทหลักทรัพย์ บียอนด์ จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ยูโอบี เคย์เฮียน (ประเทศไทย) จำกัด (มหาชน)']","['บริษัทหลักทรัพย์ บัวหลวง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ พาย จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ฟิลลิป (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ แลนด์ แอนด์ เฮ้าส์ จำกัด', 'บริษัทหลักทรัพย์ ไอร่า จำกัด (มหาชน)']",5.5000,Thu Sep 14,8.0000,8.4000,7.7000,7.9000,9.2500,9.6500,9.3500,10.2000,10.3000,10.1000,8.0500,10.7000
COLOR,สิริอนงค์ มโนธรรม,ฟินเน็กซ์ แอ๊ดไวเซอรี่ จำกัด,['บริษัทหลักทรัพย์ พาย จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ฟาร์อีสท์ จำกัด', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ โกลเบล็ก จำกัด']",2.8900,Tue Jun 14,6.8000,7.7500,6.6000,6.7000,5.2500,4.8000,4.9000,4.7000,4.8000,4.7400,3.3200,3.0800
COM7,พรพิมล ดำรงศิริ,ที่ปรึกษา เอเซีย พลัส จำกัด,['บริษัทหลักทรัพย์ เอเซีย พลัส จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ทรีนีตี้ จำกัด', 'บริษัทหลักทรัพย์ บัวหลวง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)']",3.3500,Mon Aug 10,4.0000,4.9800,3.9800,4.1600,3.6000,3.4400,3.5400,3.3800,3.3800,3.4000,4.9800,6.3500
COMAN,นางสาว อนงค์ ยุวะหงษ์,บริษัท หลักทรัพย์ทรีนีตี้ จำกัด,['บริษัทหลักทรัพย์ ทรีนีตี้ จำกัด'],"['บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เอเซีย พลัส จำกัด (มหาชน)']",7.8000,Fri Nov 11,14.0000,14.4000,10.8000,10.8000,10.0000,10.3000,9.4500,8.7500,8.7000,9.5000,10.6000,9.4500
CPALL,,ภัทร บล. บจก.,['บริษัทหลักทรัพย์ เกียรตินาคินภัทร จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ กรุงศรี จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ กรุงไทย เอ็กซ์สปริง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ซิกโก้ จำกัด', 'บริษัทหลักทรัพย์ ดีบีเอส วิคเคอร์ส จำกัด', 'บริษัทหลักทรัพย์ ทรีนีตี้ จำกัด', 'บริษัทหลักทรัพย์ ทิสโก้ จำกัด', 'บริษัทหลักทรัพย์ ธนชาต จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ บัวหลวง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ฟิลลิป (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ อาร์เอชบี (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ อินเทลวิชั่น จำกัด', 'บริษัทหลักทรัพย์ เกียรตินาคินภัทร จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เอบีเอ็น แอมโร เอเชีย จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เออีซี จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เอเพกซ์ จำกัด', 'บริษัทหลักทรัพย์ แอสเซท พลัส จำกัด', 'บริษัทหลักทรัพย์ โกลเบล็ก จำกัด', 'บริษัทหลักทรัพย์ โนมูระ พัฒนสิน จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ไทยพาณิชย์ จำกัด']",40.0000,Tue Oct 14,6.0000,6.2000,5.5500,5.6000,5.7000,5.7000,5.9000,5.8000,5.8000,5.5000,5.5500,6.3000
CPANEL,นาย สมศักดิ์ ศิริชัยนฤมิตร,บริษัท แอสเซท โปร แมเนจเม้นท์ จำกัด,['บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ กรุงไทย เอ็กซ์สปริง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ดาโอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ฟิลลิป (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เอเอสแอล จำกัด', 'บริษัทหลักทรัพย์ แลนด์ แอนด์ เฮ้าส์ จำกัด']",6.0000,Thu Sep 30,8.7000,8.8000,7.1500,7.3000,6.8500,7.1500,6.9000,6.7000,7.0500,7.2000,7.8500,9.2500
CPR,,โนมูระ พัฒนสิน บมจ. บล.,['บริษัทหลักทรัพย์ โนมูระ พัฒนสิน จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ กรุงไทย เอ็กซ์สปริง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน)']",2.1000,Tue Dec 13,2.2000,2.2400,2.1000,2.1000,2.1000,2.0800,2.1000,2.1200,2.2600,2.3600,2.1200,2.1800
CPT,นางสาว วิจันทร์ รัตนกิตติอาภรณ์,บริษัท หลักทรัพย์ฟิลลิป (ประเทศไทย) จำกัด (มหาชน),['บริษัทหลักทรัพย์ ฟิลลิป (ประเทศไทย) จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ กรุงไทย เอ็กซ์สปริง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ แอพเพิล เวลธ์ จำกัด', 'บริษัทหลักทรัพย์ โนมูระ พัฒนสิน จำกัด (มหาชน)']",2.3000,Wed Dec 20,2.3400,2.3800,2.0800,2.0800,2.1200,2.1800,2.2600,2.3200,2.2400,2.2400,2.1000,2.3800
CPW,N.A.,บริษัท หลักทรัพย์เคที ซีมิโก้ จำกัด,['บริษัทหลักทรัพย์ กรุงไทย เอ็กซ์สปริง จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ดาโอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)']",2.3800,Thu Oct 24,2.5200,2.5400,2.3600,2.3600,2.2200,2.2000,2.1600,2.1800,2.2400,2.0000,1.6100,1.2600
CRANE,,บีฟิท บล.บจก.,['บริษัทหลักทรัพย์ อาร์เอชบี (ประเทศไทย) จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ นครหลวงไทย จำกัด', 'บริษัทหลักทรัพย์ บีที จำกัด', 'บริษัทหลักทรัพย์ ฟาร์อีสท์ จำกัด', 'บริษัทหลักทรัพย์ สินเอเชีย จำกัด', 'บริษัทหลักทรัพย์ เมอร์ชั่น พาร์ทเนอร์ จำกัด', 'บริษัทหลักทรัพย์ โนมูระ พัฒนสิน จำกัด (มหาชน)']",2.8000,Wed Feb 13,3.1000,3.1400,2.8000,2.8000,2.5800,2.8000,2.8600,2.7400,2.7000,2.3200,2.4200,1.7800
CRC,"นางสาว อนุตร ปทีปวณิช, นายธีรภัทร เกษมพันธ์กุล","บริษัท หลักทรัพย์ภัทร จำกัด (มหาชน), บริษัท หลักทรัพย์บัวหลวง จำกัด (มหาชน)","['บริษัทหลักทรัพย์ กสิกรไทย จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ บัวหลวง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เกียรตินาคินภัทร จำกัด (มหาชน)']","['บริษัทหลักทรัพย์ กรุงศรี จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ไทยพาณิชย์ จำกัด']",43.0000,Thu Feb 20,42.0000,42.2500,41.5000,41.7500,41.2500,36.5000,37.2500,32.5000,34.0000,24.7000,36.0000,30.5000
CRD,นาย สมศักดิ์ ศิริชัยนฤมิตร,บริษัท แอสเซท โปร แมเนจเม้นท์ จำกัด,['บริษัทหลักทรัพย์ ฟิลลิป (ประเทศไทย) จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ กรุงไทย เอ็กซ์สปริง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ทรีนีตี้ จำกัด', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ยูโอบี เคย์เฮียน (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ โกลเบล็ก จำกัด', 'บริษัทหลักทรัพย์ โนมูระ พัฒนสิน จำกัด (มหาชน)']",1.4400,Thu Oct 05,1.7500,1.8400,1.5700,1.5900,1.5600,1.5000,1.5200,1.4900,1.4700,1.4500,1.2900,1.2300
CREDIT,N.A.,ธนาคารซีไอเอ็มบี ไทย จำกัด (มหาชน),"['บริษัทหลักทรัพย์ ซีจีเอส อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด', 'บริษัทหลักทรัพย์ บัวหลวง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน)']","['บริษัทหลักทรัพย์ กรุงศรี จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ดาโอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ พาย จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เอสบีไอ ไทย ออนไลน์ จำกัด', 'บริษัทหลักทรัพย์ ไอร่า จำกัด (มหาชน)']",29.0000,Fri Feb 09,27.5000,27.7500,25.2500,27.5000,27.5000,29.0000,28.7500,27.5000,28.7500,27.2500,26.0000,16.7000
CSP,,ซีมิโก้ บล.บมจ.,['บริษัทหลักทรัพย์ กรุงไทย เอ็กซ์สปริง จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ทีเอสอีซี จำกัด', 'บริษัทหลักทรัพย์ นครหลวงไทย จำกัด', 'บริษัทหลักทรัพย์ ฟาร์อีสท์ จำกัด', 'บริษัทหลักทรัพย์ ฟิลลิป (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมอร์ชั่น พาร์ทเนอร์ จำกัด', 'บริษัทหลักทรัพย์ เออีซี จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ โกลเบล็ก จำกัด']",3.0000,Thu Dec 22,3.2400,3.3200,2.6000,2.6000,2.2400,2.3000,2.2600,2.2600,2.3400,2.3200,2.8600,3.3800
CSS,ตระกูล เฮงสกุล,ฟินน์คอร์ป แอดไวซอรี่ จำกัด,['บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ซีไอเอ็มบี (ประเทศไทย) จำกัด', 'บริษัทหลักทรัพย์ พาย จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ อาร์เอชบี (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เอเซีย พลัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ โนมูระ พัฒนสิน จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ไทยพาณิชย์ จำกัด']",3.0000,Tue Sep 03,3.2000,3.2400,2.0400,2.1200,2.3400,2.2400,2.6800,2.8200,2.7000,3.2800,2.6800,2.4200
CV,นาย ดิถดนัย สังขะรมย์,บริษัท หลักทรัพย์ทรีนีตี้ จำกัด,['บริษัทหลักทรัพย์ ยูโอบี เคย์เฮียน (ประเทศไทย) จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ดาโอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ พาย จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมอร์ชั่น พาร์ทเนอร์ จำกัด', 'บริษัทหลักทรัพย์ แลนด์ แอนด์ เฮ้าส์ จำกัด', 'บริษัทหลักทรัพย์ ไอร่า จำกัด (มหาชน)']",3.9000,Thu Sep 02,3.9600,4.3200,3.9200,3.9200,3.8800,3.9000,3.8600,3.7800,3.8000,3.3200,3.1200,2.8800
D,นาง ศิริพร เหล่ารัตนกุล,บริษัท ที่ปรึกษา เอเซีย พลัส จำกัด,['บริษัทหลักทรัพย์ เอเซีย พลัส จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ดาโอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ บัวหลวง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ อาร์เอชบี (ประเทศไทย) จำกัด (มหาชน)']",6.0000,Mon Apr 03,8.5000,9.1500,8.5000,8.7000,8.4500,8.5000,8.7000,8.5000,8.5000,8.8500,8.2000,8.9000
DDD,นางสาว ณิชา เตชัสอนันต์,บริษัท หลักทรัพย์บัวหลวง จำกัด (มหาชน),['บริษัทหลักทรัพย์ บัวหลวง จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ธนชาต จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ไทยพาณิชย์ จำกัด']",53.0000,Tue Dec 26,99.0000,100.0000,80.2500,85.0000,82.0000,83.7500,88.5000,95.0000,88.5000,109.0000,98.0000,67.2500
DEMCO,,เอเซีย พลัส บล.บมจ.,['บริษัทหลักทรัพย์ เอเซีย พลัส จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ธนชาต จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ บัวหลวง จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ไอ วี โกลบอล จำกัด (มหาชน)']",3.0500,Thu Dec 14,2.5440,3.2320,2.5440,2.8800,2.9760,2.7360,2.1600,2.5120,2.4480,2.1920,2.5600,3.5520
DEXON,N.A.,บริษัท หลักทรัพย์ฟิลลิป (ประเทศไทย) จำกัด (มหาชน),['บริษัทหลักทรัพย์ ฟิลลิป (ประเทศไทย) จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ซีจีเอส อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด', 'บริษัทหลักทรัพย์ ดาโอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ บียอนด์ จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)']",4.5000,Fri Mar 31,4.5600,5.3000,4.5400,4.6200,4.4400,4.2200,4.1200,4.3000,4.3000,2.6800,2.6600,2.5000
DHOUSE,นาย เสกสรรค์ ธโนปจัย,บริษัท แอสเซท โปร แมเนจเม้นท์ จำกัด,['บริษัทหลักทรัพย์ ฟิลลิป (ประเทศไทย) จำกัด (มหาชน)'],"['บริษัทหลักทรัพย์ ดาโอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ทรีนีตี้ จำกัด', 'บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ ยูโอบี เคย์เฮียน (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ อาร์เอชบี (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ โกลเบล็ก จำกัด', 'บริษัทหลักทรัพย์ โนมูระ พัฒนสิน จำกัด (มหาชน)']",0.6000,Mon Oct 26,0.6700,0.7200,0.6100,0.6100,0.6200,0.6100,0.5600,0.5800,0.5800,0.5700,0.6100,1.1800
DIMET,,แอสเซท โปร แมเนจเม้นท์ บจ.,"['บริษัทหลักทรัพย์ ฟาร์อีสท์ จำกัด', 'บริษัทหลักทรัพย์ อาร์เอชบี (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ เมอร์ชั่น พาร์ทเนอร์ จำกัด']","['บริษัทหลักทรัพย์ สินเอเชีย จำกัด', 'บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)', 'บริษัทหลักทรัพย์ โนมูระ พัฒนสิน จำกัด (มหาชน)']",1.0000,Mon Jan 21,2.2000,2.3600,1.5900,1.6300,1.5700,1.6300,1.3500,1.6000,1.6100,1.5400,1.4700,1.0500
DITTO,N.A.,บริษัท เซจแคปปิตอล จำกัด,['บริษัทหลักทรัพย์ บัวหลวง จำกัด (มหาชน)'],['บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน)'],7.5000,Thu May 06,18.0000,19.3000,15.7000,16.0000,15.5000,16.9000,18.7000,18.5000,18.0000,17.0000,16.1000,16.5000
